"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"2699","276","1400000US06037121102","Census Tract 1211.02, Los Angeles County, California"
"2647","324","1400000US06037121210","Census Tract 1212.10, Los Angeles County, California"
"2168","343","1400000US06037121221","Census Tract 1212.21, Los Angeles County, California"
"4793","633","1400000US06037121222","Census Tract 1212.22, Los Angeles County, California"
"2712","348","1400000US06037121600","Census Tract 1216, Los Angeles County, California"
"3577","399","1400000US06037121801","Census Tract 1218.01, Los Angeles County, California"
"3018","443","1400000US06037121802","Census Tract 1218.02, Los Angeles County, California"
"4356","436","1400000US06037121900","Census Tract 1219, Los Angeles County, California"
"5279","487","1400000US06037122000","Census Tract 1220, Los Angeles County, California"
"5050","438","1400000US06037122120","Census Tract 1221.20, Los Angeles County, California"
"3035","320","1400000US06037122121","Census Tract 1221.21, Los Angeles County, California"
"2251","292","1400000US06037122122","Census Tract 1221.22, Los Angeles County, California"
"3585","547","1400000US06037122200","Census Tract 1222, Los Angeles County, California"
"3945","432","1400000US06037122410","Census Tract 1224.10, Los Angeles County, California"
"4744","498","1400000US06037122420","Census Tract 1224.20, Los Angeles County, California"
"4933","565","1400000US06037123010","Census Tract 1230.10, Los Angeles County, California"
"3165","370","1400000US06037123020","Census Tract 1230.20, Los Angeles County, California"
"4239","419","1400000US06037123103","Census Tract 1231.03, Los Angeles County, California"
"4803","425","1400000US06037123104","Census Tract 1231.04, Los Angeles County, California"
"3641","377","1400000US06037123203","Census Tract 1232.03, Los Angeles County, California"
"3172","398","1400000US06037123204","Census Tract 1232.04, Los Angeles County, California"
"2875","375","1400000US06037123205","Census Tract 1232.05, Los Angeles County, California"
"2327","295","1400000US06037123206","Census Tract 1232.06, Los Angeles County, California"
"4957","376","1400000US06037123301","Census Tract 1233.01, Los Angeles County, California"
"3395","397","1400000US06037123303","Census Tract 1233.03, Los Angeles County, California"
"4479","449","1400000US06037123304","Census Tract 1233.04, Los Angeles County, California"
"4092","438","1400000US06037123410","Census Tract 1234.10, Los Angeles County, California"
"4170","354","1400000US06037123420","Census Tract 1234.20, Los Angeles County, California"
"4554","598","1400000US06037123510","Census Tract 1235.10, Los Angeles County, California"
"2508","345","1400000US06037123520","Census Tract 1235.20, Los Angeles County, California"
"5877","433","1400000US06037123601","Census Tract 1236.01, Los Angeles County, California"
"3509","323","1400000US06037123602","Census Tract 1236.02, Los Angeles County, California"
"4188","363","1400000US06037123700","Census Tract 1237, Los Angeles County, California"
"5670","384","1400000US06037123800","Census Tract 1238, Los Angeles County, California"
"4308","459","1400000US06037123901","Census Tract 1239.01, Los Angeles County, California"
"2335","242","1400000US06037123902","Census Tract 1239.02, Los Angeles County, California"
"4223","292","1400000US06037124000","Census Tract 1240, Los Angeles County, California"
"3730","403","1400000US06037124102","Census Tract 1241.02, Los Angeles County, California"
"2119","286","1400000US06037124103","Census Tract 1241.03, Los Angeles County, California"
"2965","337","1400000US06037124104","Census Tract 1241.04, Los Angeles County, California"
"2721","350","1400000US06037124105","Census Tract 1241.05, Los Angeles County, California"
"3482","304","1400000US06037124201","Census Tract 1242.01, Los Angeles County, California"
"2604","287","1400000US06037124203","Census Tract 1242.03, Los Angeles County, California"
"3257","608","1400000US06037124204","Census Tract 1242.04, Los Angeles County, California"
"3720","431","1400000US06037124300","Census Tract 1243, Los Angeles County, California"
"4005","332","1400000US06037124400","Census Tract 1244, Los Angeles County, California"
"3039","265","1400000US06037124500","Census Tract 1245, Los Angeles County, California"
"3529","314","1400000US06037124600","Census Tract 1246, Los Angeles County, California"
"4555","602","1400000US06037124700","Census Tract 1247, Los Angeles County, California"
"2699","273","1400000US06037124902","Census Tract 1249.02, Los Angeles County, California"
"3372","283","1400000US06037124903","Census Tract 1249.03, Los Angeles County, California"
"5526","529","1400000US06037125100","Census Tract 1251, Los Angeles County, California"
"3475","295","1400000US06037125200","Census Tract 1252, Los Angeles County, California"
"4064","411","1400000US06037125310","Census Tract 1253.10, Los Angeles County, California"
"4692","432","1400000US06037125320","Census Tract 1253.20, Los Angeles County, California"
"3747","414","1400000US06037125401","Census Tract 1254.01, Los Angeles County, California"
"3451","289","1400000US06037125402","Census Tract 1254.02, Los Angeles County, California"
"3427","445","1400000US06037125501","Census Tract 1255.01, Los Angeles County, California"
"2777","352","1400000US06037125502","Census Tract 1255.02, Los Angeles County, California"
"2714","238","1400000US06037125600","Census Tract 1256, Los Angeles County, California"
"5567","456","1400000US06037127102","Census Tract 1271.02, Los Angeles County, California"
"2508","420","1400000US06037127103","Census Tract 1271.03, Los Angeles County, California"
"3701","522","1400000US06037127104","Census Tract 1271.04, Los Angeles County, California"
"5443","545","1400000US06037127210","Census Tract 1272.10, Los Angeles County, California"
"5249","383","1400000US06037127220","Census Tract 1272.20, Los Angeles County, California"
"4626","581","1400000US06037127300","Census Tract 1273, Los Angeles County, California"
"6519","509","1400000US06037127400","Census Tract 1274, Los Angeles County, California"
"4122","442","1400000US06037127520","Census Tract 1275.20, Los Angeles County, California"
"3043","452","1400000US06037127603","Census Tract 1276.03, Los Angeles County, California"
"2795","393","1400000US06037127604","Census Tract 1276.04, Los Angeles County, California"
"3784","605","1400000US06037127605","Census Tract 1276.05, Los Angeles County, California"
"3337","431","1400000US06037127606","Census Tract 1276.06, Los Angeles County, California"
"3459","293","1400000US06037127711","Census Tract 1277.11, Los Angeles County, California"
"2823","361","1400000US06037127712","Census Tract 1277.12, Los Angeles County, California"
"3976","478","1400000US06037127803","Census Tract 1278.03, Los Angeles County, California"
"3852","452","1400000US06037127804","Census Tract 1278.04, Los Angeles County, California"
"4121","631","1400000US06037127805","Census Tract 1278.05, Los Angeles County, California"
"3480","308","1400000US06037127806","Census Tract 1278.06, Los Angeles County, California"
"5490","547","1400000US06037127910","Census Tract 1279.10, Los Angeles County, California"
"3887","282","1400000US06037127920","Census Tract 1279.20, Los Angeles County, California"
"3862","365","1400000US06037128101","Census Tract 1281.01, Los Angeles County, California"
"4165","354","1400000US06037128102","Census Tract 1281.02, Los Angeles County, California"
"5008","558","1400000US06037128210","Census Tract 1282.10, Los Angeles County, California"
"3006","279","1400000US06037128220","Census Tract 1282.20, Los Angeles County, California"
"4808","485","1400000US06037128302","Census Tract 1283.02, Los Angeles County, California"
"3584","405","1400000US06037128303","Census Tract 1283.03, Los Angeles County, California"
"3964","317","1400000US06037128400","Census Tract 1284, Los Angeles County, California"
"3881","411","1400000US06037128500","Census Tract 1285, Los Angeles County, California"
"3310","494","1400000US06037128601","Census Tract 1286.01, Los Angeles County, California"
"2698","290","1400000US06037128602","Census Tract 1286.02, Los Angeles County, California"
"5564","446","1400000US06037128702","Census Tract 1287.02, Los Angeles County, California"
"3164","248","1400000US06037128801","Census Tract 1288.01, Los Angeles County, California"
"4574","571","1400000US06037128802","Census Tract 1288.02, Los Angeles County, California"
"3584","381","1400000US06037128910","Census Tract 1289.10, Los Angeles County, California"
"6667","473","1400000US06037131010","Census Tract 1310.10, Los Angeles County, California"
"5299","419","1400000US06037131020","Census Tract 1310.20, Los Angeles County, California"
"3251","305","1400000US06037131100","Census Tract 1311, Los Angeles County, California"
"3324","218","1400000US06037131200","Census Tract 1312, Los Angeles County, California"
"4813","565","1400000US06037131300","Census Tract 1313, Los Angeles County, California"
"5393","434","1400000US06037131400","Census Tract 1314, Los Angeles County, California"
"5721","533","1400000US06037131600","Census Tract 1316, Los Angeles County, California"
"4914","838","1400000US06037131701","Census Tract 1317.01, Los Angeles County, California"
"3590","473","1400000US06037131702","Census Tract 1317.02, Los Angeles County, California"
"5555","601","1400000US06037131800","Census Tract 1318, Los Angeles County, California"
"4532","806","1400000US06037131900","Census Tract 1319, Los Angeles County, California"
"3183","324","1400000US06037132001","Census Tract 1320.01, Los Angeles County, California"
"3177","381","1400000US06037132002","Census Tract 1320.02, Los Angeles County, California"
"4559","423","1400000US06037132101","Census Tract 1321.01, Los Angeles County, California"
"5110","340","1400000US06037132102","Census Tract 1321.02, Los Angeles County, California"
"6395","568","1400000US06037132300","Census Tract 1323, Los Angeles County, California"
"3818","490","1400000US06037132501","Census Tract 1325.01, Los Angeles County, California"
"3866","386","1400000US06037132502","Census Tract 1325.02, Los Angeles County, California"
"5395","507","1400000US06037132700","Census Tract 1327, Los Angeles County, California"
"3598","372","1400000US06037132900","Census Tract 1329, Los Angeles County, California"
"4227","534","1400000US06037133000","Census Tract 1330, Los Angeles County, California"
"5594","426","1400000US06037133100","Census Tract 1331, Los Angeles County, California"
"4102","418","1400000US06037134001","Census Tract 1340.01, Los Angeles County, California"
"3413","327","1400000US06037134002","Census Tract 1340.02, Los Angeles County, California"
"5588","463","1400000US06037134101","Census Tract 1341.01, Los Angeles County, California"
"4086","428","1400000US06037134103","Census Tract 1341.03, Los Angeles County, California"
"4475","447","1400000US06037134104","Census Tract 1341.04, Los Angeles County, California"
"4799","466","1400000US06037134201","Census Tract 1342.01, Los Angeles County, California"
"3797","246","1400000US06037134302","Census Tract 1343.02, Los Angeles County, California"
"5284","405","1400000US06037134303","Census Tract 1343.03, Los Angeles County, California"
"2792","270","1400000US06037134304","Census Tract 1343.04, Los Angeles County, California"
"4341","488","1400000US06037134305","Census Tract 1343.05, Los Angeles County, California"
"3752","663","1400000US06037134306","Census Tract 1343.06, Los Angeles County, California"
"4053","269","1400000US06037134421","Census Tract 1344.21, Los Angeles County, California"
"4582","409","1400000US06037134422","Census Tract 1344.22, Los Angeles County, California"
"3695","205","1400000US06037134423","Census Tract 1344.23, Los Angeles County, California"
"2858","236","1400000US06037134424","Census Tract 1344.24, Los Angeles County, California"
"5107","538","1400000US06037134520","Census Tract 1345.20, Los Angeles County, California"
"2240","406","1400000US06037134521","Census Tract 1345.21, Los Angeles County, California"
"4255","392","1400000US06037134522","Census Tract 1345.22, Los Angeles County, California"
"5239","523","1400000US06037134710","Census Tract 1347.10, Los Angeles County, California"
"4756","459","1400000US06037134720","Census Tract 1347.20, Los Angeles County, California"
"5875","393","1400000US06037134800","Census Tract 1348, Los Angeles County, California"
"3301","364","1400000US06037134901","Census Tract 1349.01, Los Angeles County, California"
"3877","454","1400000US06037134903","Census Tract 1349.03, Los Angeles County, California"
"4614","526","1400000US06037134904","Census Tract 1349.04, Los Angeles County, California"
"2035","291","1400000US06037134905","Census Tract 1349.05, Los Angeles County, California"
"3318","246","1400000US06037135102","Census Tract 1351.02, Los Angeles County, California"
"3082","363","1400000US06037135111","Census Tract 1351.11, Los Angeles County, California"
"2772","440","1400000US06037135113","Census Tract 1351.13, Los Angeles County, California"
"4268","401","1400000US06037135114","Census Tract 1351.14, Los Angeles County, California"
"2606","247","1400000US06037135201","Census Tract 1352.01, Los Angeles County, California"
"4304","310","1400000US06037135202","Census Tract 1352.02, Los Angeles County, California"
"7937","580","1400000US06037135203","Census Tract 1352.03, Los Angeles County, California"
"3445","273","1400000US06037137103","Census Tract 1371.03, Los Angeles County, California"
"2597","213","1400000US06037137104","Census Tract 1371.04, Los Angeles County, California"
"5325","537","1400000US06037137201","Census Tract 1372.01, Los Angeles County, California"
"2117","214","1400000US06037137301","Census Tract 1373.01, Los Angeles County, California"
"4621","269","1400000US06037137302","Census Tract 1373.02, Los Angeles County, California"
"4202","305","1400000US06037137401","Census Tract 1374.01, Los Angeles County, California"
"5498","395","1400000US06037137402","Census Tract 1374.02, Los Angeles County, California"
"3388","319","1400000US06037137501","Census Tract 1375.01, Los Angeles County, California"
"3932","350","1400000US06037137502","Census Tract 1375.02, Los Angeles County, California"
"1903","198","1400000US06037137504","Census Tract 1375.04, Los Angeles County, California"
"4593","220","1400000US06037138000","Census Tract 1380, Los Angeles County, California"
"4520","608","1400000US06037139001","Census Tract 1390.01, Los Angeles County, California"
"4895","500","1400000US06037139200","Census Tract 1392, Los Angeles County, California"
"4949","410","1400000US06037139301","Census Tract 1393.01, Los Angeles County, California"
